average_speed|distance|elapsed_time|elev_high|elev_low|hashed_id|max_speed|moving_time|total_elevation_gain|age_0.0|age_1.0|age_2.0|trainer_onehot|workout_type_10.0|workout_type_11.0|workout_type_12.0|weekday_Friday|weekday_Monday|weekday_Saturday|weekday_Sunday|weekday_Thursday|weekday_Tuesday|weekday_Wednesday|daypart_afternoon|daypart_dawn|daypart_evening|daypart_forenoon|daypart_morning|daypart_night
5.569|24981.9|4503.0|177.6|113.8|4348472.0|8.0|4486.0|48.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0
5.681|27781.8|4890.0|190.8|0.0|4348472.0|9.7|4890.0|167.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.146|24983.0|4179.0|171.2|104.4|4348472.0|10.3|4065.0|50.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5.593|27769.1|4965.0|209.6|124.0|4348472.0|10.1|4965.0|165.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.14|24994.8|4149.0|209.4|144.4|4348472.0|13.0|4071.0|47.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.452999999999999|27747.4|5088.0|246.2|162.2|4348472.0|9.8|5088.0|163.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.21|25020.6|4029.0|227.4|167.6|4348472.0|10.6|4029.0|46.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
5.917999999999999|29938.0|5464.0|259.0|173.8|4348472.0|10.2|5059.0|149.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
5.93|24995.1|4215.0|280.2|215.2|4348472.0|10.9|4215.0|51.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
5.242999999999999|27768.0|5296.0|247.2|0.0|4348472.0|12.7|5296.0|169.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.406000000000001|25003.9|3970.0|168.4|111.8|4348472.0|14.6|3903.0|49.0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
4.993|27770.8|5562.0|161.2|76.0|4348472.0|10.0|5562.0|159.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.233|24988.7|4009.0|126.2|64.2|4348472.0|11.7|4009.0|54.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.648|27744.1|5000.0|132.8|47.0|4348472.0|10.4|4912.0|167.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.325|25009.2|3974.0|124.8|58.8|4348472.0|9.0|3954.0|41.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.456|27725.9|5082.0|279.8|190.8|4348472.0|11.0|5082.0|165.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
6.252999999999999|25000.6|4023.0|246.2|186.0|4348472.0|9.0|3998.0|46.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
4.962|27717.6|5586.0|171.4|81.6|4348472.0|10.4|5586.0|180.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.18|24999.9|4068.0|108.4|47.6|4348472.0|9.1|4045.0|55.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
4.849|27744.9|5722.0|101.0|19.8|4348472.0|9.4|5722.0|166.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.132000000000001|24989.4|4075.0|82.6|15.4|4348472.0|9.4|4075.0|57.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.906000000000001|27798.7|4723.0|147.8|64.6|4348472.0|11.4|4707.0|169.0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.212999999999999|25000.0|4130.0|166.8|90.6|4348472.0|11.2|4024.0|47.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
7.506|42320.5|7207.0|200.6|138.0|4348472.0|13.3|5638.0|115.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
5.359|27736.9|5176.0|161.2|75.6|4348472.0|10.5|5176.0|170.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.537000000000001|25016.5|3916.0|139.8|77.0|4348472.0|9.5|3827.0|44.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5.466|31927.0|5987.0|175.8|94.6|4348472.0|10.9|5841.0|187.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.954|25012.4|3760.0|177.6|107.0|4348472.0|11.4|3597.0|43.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.77|27806.9|4819.0|222.8|139.2|4348472.0|10.2|4819.0|159.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.422000000000001|24963.3|3887.0|225.8|162.4|4348472.0|9.3|3887.0|43.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.445|27729.7|5111.0|266.0|179.2|4348472.0|9.8|5093.0|170.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.178999999999999|24981.8|4043.0|217.8|0.0|4348472.0|9.3|4043.0|45.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
5.641|27745.9|4919.0|228.8|144.6|4348472.0|10.5|4919.0|161.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
6.627999999999999|25013.7|3798.0|222.2|160.2|4348472.0|9.7|3774.0|40.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
8.782|45279.6|5156.0|187.8|121.0|4348472.0|15.2|5156.0|352.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
5.617000000000001|26873.4|4784.0|127.6|24.0|4348472.0|10.9|4784.0|172.0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.308|25013.2|3965.0|91.4|29.6|4348472.0|9.2|3965.0|51.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5.615|26810.3|4775.0|146.0|46.8|4348472.0|11.1|4775.0|168.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.372999999999999|24988.6|3921.0|102.6|39.0|4348472.0|9.8|3921.0|46.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.984|26768.0|4473.0|146.0|45.4|4348472.0|10.0|4473.0|168.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.324|24984.6|3951.0|98.0|0.0|4348472.0|8.8|3951.0|42.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.869|26772.6|4562.0|172.2|78.2|4348472.0|10.8|4562.0|166.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.3260000000000005|25083.1|4000.0|142.0|83.0|4348472.0|14.8|3965.0|50.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
5.484|27759.1|5081.0|169.0|88.6|4348472.0|11.1|5062.0|154.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
6.422999999999999|25266.2|3934.0|152.8|88.0|4348472.0|9.1|3934.0|47.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
6.6770000000000005|8600.1|1288.0|277.2|182.4|4348472.0|11.6|1288.0|31.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
4.297|9088.2|2115.0|283.8|191.6|4348472.0|11.8|2115.0|123.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
6.744|26639.8|3950.0|223.2|122.8|4348472.0|12.8|3950.0|175.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.888|24998.1|3672.0|175.6|113.6|4348472.0|12.8|3629.0|45.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
6.111000000000001|27729.6|4538.0|187.0|104.0|4348472.0|11.1|4538.0|151.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.752999999999999|25006.8|3703.0|174.2|115.2|4348472.0|13.1|3703.0|40.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.809|27687.7|4766.0|212.6|133.2|4348472.0|11.8|4766.0|155.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.909|25004.1|3710.0|192.0|126.6|4348472.0|9.9|3619.0|47.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
6.111000000000001|27603.7|4618.0|213.8|132.2|4348472.0|11.5|4517.0|157.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.872000000000001|25026.3|3760.0|179.0|115.0|4348472.0|11.0|3642.0|53.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
5.98|27855.3|4798.0|207.8|125.0|4348472.0|11.1|4658.0|155.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
6.625|25014.4|3776.0|180.2|114.8|4348472.0|12.3|3776.0|46.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
7.596|55186.2|9113.0|176.4|102.6|4348472.0|12.1|7265.0|160.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
8.187000000000001|127100.0|18527.0|346.0|74.6|4348472.0|18.6|15524.0|734.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
