average_speed,distance,kmeans,minibatch,spectral
7.04,64046.5,3,2,3
7.371,38853.7,2,1,0
8.119,39075.8,0,1,0
6.839,51232.3,2,2,1
8.004,33474.1,0,1,0
6.89,38725.9,2,4,0
6.765,72983.4,3,2,2
7.042000000000002,38743.3,2,4,0
7.502999999999999,62466.600000000006,3,2,3
4.386,49682.90000000001,3,4,1
4.293,37621.1,2,4,4
4.279,32363.1,2,4,4
5.093,31072.6,2,4,4
3.936,42232.6,2,4,1
4.569,45554.3,2,4,1
5.54,27737.5,2,4,0
5.198,24972.5,2,4,4
5.6770000000000005,27711.4,2,4,0
4.876,24976.8,2,4,4
5.7379999999999995,27720.8,2,4,0
5.69,24982.7,2,4,0
6.779,27042.5,0,1,0
4.888,27833.1,2,4,4
5.976,24978.6,2,4,0
5.034,27838.6,2,4,4
6.212999999999999,24996.4,2,1,0
5.315,27744.4,2,4,0
6.004,24986.9,2,4,0
5.49,27742.2,2,4,0
6.232,24997.0,2,1,0
4.359,17690.4,4,3,4
5.224,27787.4,2,4,4
5.569,24981.9,2,4,0
5.681,27781.8,2,4,0
6.146,24983.0,2,1,0
5.593,27769.1,2,4,0
6.14,24994.8,2,1,0
5.4529999999999985,27747.4,2,4,0
6.21,25020.6,2,1,0
5.917999999999998,29938.0,2,4,0
5.93,24995.1,2,4,0
5.2429999999999986,27768.0,2,4,4
6.4060000000000015,25003.9,0,1,0
4.993,27770.8,2,4,4
6.233,24988.7,2,1,0
5.648,27744.1,2,4,0
6.325,25009.2,2,1,0
5.456,27725.9,2,4,0
6.252999999999999,25000.6,2,1,0
4.962,27717.6,2,4,4
6.18,24999.9,2,1,0
4.849,27744.9,2,4,4
6.1320000000000014,24989.4,2,1,0
5.9060000000000015,27798.7,2,4,0
6.212999999999999,25000.0,2,1,0
7.506,42320.5,2,1,0
5.359,27736.9,2,4,0
6.537000000000001,25016.5,0,1,0
5.466,31927.0,2,4,0
6.954,25012.4,0,1,0
5.77,27806.9,2,4,0
