average_speed,distance,kmeans,minibatch,spectral
6.695,54299.7,B,B,B
6.5440000000000005,86692.9,C,C,C
5.322,83583.5,C,C,B
6.87,87876.4,C,C,C
7.275,42783.6,B,B,B
5.874,41182.2,B,B,B
5.854,40925.0,B,B,B
7.684,74383.8,C,C,C
3.968,50714.9,A,A,B
4.947,25344.9,A,A,D
5.136,33222.3,A,A,B
4.4830000000000005,29563.4,A,A,A
4.254,25591.2,A,A,A
3.97,47316.0,A,A,B
4.717,27868.2,A,A,D
6.15,48701.8,B,B,B
6.096,88721.1,C,C,C
6.056,83773.0,C,C,C
5.839,42108.3,B,B,B
6.5600000000000005,87000.4,C,C,C
6.05,53377.1,B,B,B
3.793,32446.4,A,A,A
6.325,56465.4,B,B,B
4.351,50408.3,A,A,B
6.126,69378.3,B,C,B
5.367000000000001,40443.0,B,B,B
6.439,52098.1,B,B,B
6.6389999999999985,87028.0,C,C,C
5.567,49827.1,B,B,B
6.961,73194.5,C,C,C
6.059,30763.300000000003,D,D,D
5.191,60818.1,B,B,B
6.939,62677.3,B,C,B
6.107,70428.2,B,C,B
6.005,66562.8,B,B,B
5.184,41352.7,B,B,B
6.705,39044.9,B,B,B
6.747000000000001,34412.2,D,D,D
3.82,35911.0,A,A,A
3.839,10061.099999999999,A,A,A
6.547999999999999,41974.2,B,B,B
6.322,72391.9,C,C,B
4.128,32337.799999999996,A,A,A
4.012,26211.5,A,A,A
5.6389999999999985,38093.2,B,B,B
5.182,37249.6,A,A,B
6.379,97030.5,C,C,C
5.747999999999998,42249.2,B,B,B
6.035,36402.1,B,B,B
6.641,96938.19999999998,C,C,C
5.8260000000000005,49705.6,B,B,B
6.629,77477.0,C,C,C
7.402,54186.1,B,C,B
4.415,41561.5,A,A,B
6.318,84986.2,C,C,C
3.925,27053.1,A,A,A
4.758,56141.5,B,B,B
4.135,34942.9,A,A,A
5.72,66598.0,B,B,B
5.233,42968.1,B,B,B
4.988,28013.5,A,A,D
6.725,77959.1,C,C,C
5.999,80457.6,C,C,C
5.9110000000000005,34629.8,B,B,B
6.466,79862.4,C,C,C
6.849,57539.0,B,B,B
5.872000000000001,62724.8,B,B,B
7.2360000000000015,69893.3,C,C,C
4.586,35618.4,A,A,B
3.861,16565.9,A,A,A
6.033,31710.8,D,D,D
5.897,38381.9,B,B,B
6.64,41251.6,B,B,B
5.9,38831.5,B,B,B
6.582000000000002,52062.6,B,B,B
6.9270000000000005,25206.8,D,D,D
5.926,33223.7,B,D,D
5.478,39381.8,B,B,B
5.4220000000000015,42155.2,B,B,B
5.422999999999999,36370.5,A,B,B
5.5310000000000015,43175.8,B,B,B
4.357,40862.5,A,A,B
6.7170000000000005,92169.0,C,C,C
6.434,41504.2,B,B,B
4.37,41394.3,A,A,B
5.307,33086.2,A,A,B
7.397,74827.7,C,C,C
5.249,42030.6,B,B,B
5.3020000000000005,55373.6,B,B,B
7.093,72830.0,C,C,C
5.37,87350.7,C,C,C
7.1160000000000005,75868.6,C,C,C
7.073,92426.2,C,C,C
4.961,34082.7,A,A,B
7.001,86895.6,C,C,C
6.61,51231.3,B,B,B
4.3180000000000005,45293.2,A,A,B
6.3,63375.1,B,B,B
6.806,71451.7,C,C,C
6.41,35005.5,B,B,B
5.046,88044.4,C,C,B
5.3660000000000005,43228.1,B,B,B
5.607,62502.4,B,B,B
5.5379999999999985,80748.0,C,C,B
4.852,54883.0,B,B,B
6.444,69400.6,C,C,B
4.836,53293.3,B,B,B
6.352,60286.0,B,B,B
5.32,41637.5,B,B,B
6.681,59640.1,B,B,B
4.498,67341.6,B,B,B
5.875,42491.1,B,B,B
4.171,50230.1,A,A,B
5.375,49763.1,B,B,B
5.644,57828.3,B,B,B
6.167000000000002,59088.4,B,B,B
5.829,72782.5,B,C,B
6.105,49816.5,B,B,B
5.773,48236.2,B,B,B
6.3420000000000005,63509.6,B,B,B
5.263,42114.3,B,B,B
5.7429999999999986,46171.9,B,B,B
6.482,40232.4,B,B,B
5.7810000000000015,36971.7,B,B,B
5.533,36525.4,B,B,B
5.8,32797.1,B,D,D
5.437,43087.5,B,B,B
5.994,88066.6,C,C,C
5.23,59809.3,B,B,B
6.3629999999999995,87848.2,C,C,C
4.8889999999999985,53264.0,B,B,B
6.16,16632.6,D,D,D
3.0869999999999997,5912.300000000003,A,A,A
6.325,14982.800000000003,D,D,D
6.5760000000000005,30030.700000000004,D,D,D
6.733,31317.4,D,D,D
4.999,64465.8,B,B,B
4.95,44087.7,A,B,B
5.477,78479.1,C,C,B
6.817,25180.9,D,D,D
6.939,44984.1,B,B,B
