average_speed,distance,kmeans,minibatch,spectral
3.593,9769.900000000001,2,4,2
3.995,25897.5,2,4,2
5.047,35156.8,1,2,1
6.949,31772.5,0,1,3
6.932,42560.4,0,1,3
6.924,50258.3,0,1,3
5.237,39730.1,1,2,1
4.431,36683.4,1,2,1
3.976,31549.7,2,4,2
4.053,34048.3,2,2,2
4.003,32810.1,2,2,2
4.315,36654.1,1,2,1
3.827,30298.0,2,4,2
3.942,22003.8,2,4,2
7.97,82024.2,3,3,4
4.336,35554.8,1,2,1
4.632,29515.0,2,4,2
5.104,33873.9,1,2,1
3.936,57211.2,1,2,1
4.1930000000000005,31560.6,2,4,2
3.904,22415.2,2,4,2
4.989,68366.6,1,2,1
4.797,25802.4,2,4,2
4.272,25120.8,2,4,2
4.863,66741.8,1,2,1
4.881,20937.4,2,4,2
7.481,24925.2,4,0,0
7.029,41295.5,0,1,3
7.6389999999999985,53722.5,0,1,3
7.6,50344.7,0,1,3
4.569,29071.0,2,4,2
7.553,59779.3,0,3,3
5.052,22624.1,2,4,2
5.276,32531.7,2,2,2
8.092,52679.2,0,1,3
4.133,47767.9,1,2,1
7.542999999999998,42397.5,0,1,3
5.115,46188.9,1,2,1
4.727,23223.6,2,4,2
4.908,37105.2,1,2,1
3.826,24215.7,2,4,2
5.6129999999999995,28000.8,2,4,2
3.591,15884.8,2,4,2
3.824,48502.0,1,2,1
4.312,25216.6,2,4,2
6.416,89150.1,3,3,4
5.655,35260.2,1,2,1
4.004,23142.5,2,4,2
6.34,84018.7,3,3,4
4.471,24915.3,2,4,2
3.406,17512.4,2,4,2
8.097000000000001,55125.0,0,1,3
5.122999999999998,35591.2,1,2,1
6.417000000000002,76237.1,3,3,4
7.72,46707.8,0,1,3
6.987,73990.4,3,3,4
2.658,11912.100000000002,2,4,2
4.117,37506.1,1,2,1
2.8020000000000005,15610.599999999999,2,4,2
4.877,22250.4,2,4,2
6.1720000000000015,18541.3,2,4,2
5.045,32063.2,2,2,2
4.5939999999999985,9173.299999999996,2,4,2
5.598,24493.1,2,4,2
4.425,61909.3,1,2,1
7.846,54809.1,0,1,3
7.5070000000000014,63793.8,3,3,3
4.904,39837.2,1,2,1
3.725,22756.0,2,4,2
5.1770000000000005,36070.7,1,2,1
4.5710000000000015,23534.4,2,4,2
6.244,94353.3,3,3,4
4.977,34443.5,1,2,1
7.358,52070.8,0,1,3
4.3439999999999985,29256.299999999996,2,4,2
8.134,55732.2,0,3,3
7.7639999999999985,47917.2,0,1,3
7.662000000000001,59678.2,0,3,3
4.473,21945.3,2,4,2
4.414,68297.0,1,2,1
8.03,63217.100000000006,3,3,3
7.0539999999999985,59669.6,0,3,3
4.334,25417.1,2,4,2
4.671,51296.5,1,2,1
7.885,62045.7,3,3,3
4.285,25918.5,2,4,2
5.075,46012.8,1,2,1
6.972,47201.5,0,1,3
4.977,29011.5,2,4,2
7.966,76959.7,3,3,4
7.249,33997.5,4,1,3
4.48,30995.1,2,4,2
4.765,37852.2,1,2,1
5.471,33900.8,1,2,1
7.301,56550.5,0,1,3
7.824,46182.4,0,1,3
8.754,31531.0,4,0,0
8.682,26229.4,4,0,0
6.36,53156.4,0,1,3
7.622999999999998,79133.6,3,3,4
7.277,54569.3,0,1,3
4.553,24816.0,2,4,2
4.681,49817.4,1,2,1
8.041,59083.0,0,3,3
7.013,40015.1,0,1,3
7.977,57293.7,0,3,3
7.1370000000000005,26063.5,4,1,3
4.872,16140.0,2,4,2
8.076,39621.1,4,0,3
7.553,32446.9,4,0,3
6.803,34445.6,0,1,3
7.734,33070.6,4,0,3
6.933,25257.8,4,1,3
7.612999999999999,50221.3,0,1,3
9.499,23425.7,4,0,0
7.8,47640.4,0,1,3
4.6560000000000015,18943.3,2,4,2
7.192,28127.9,4,1,3
9.123,32860.0,4,0,0
9.216,33203.6,4,0,0
8.869,23954.5,4,0,0
8.394,54844.2,0,3,3
9.129,41125.0,4,0,0
8.895,37457.1,4,0,0
9.03,66502.8,3,3,4
9.351,70617.8,3,3,4
9.218,50531.4,4,0,0
8.978,44191.2,4,0,0
8.814,66264.4,3,3,4
8.703,40948.9,4,0,0
9.055,27227.0,4,0,0
7.221,65237.1,3,3,4
9.595,20216.2,4,0,0
7.782999999999999,30898.700000000004,4,0,0
9.244,55537.6,4,0,3
9.521,35912.4,4,0,0
9.704,52449.1,4,0,0
9.351,67218.4,3,3,4
9.485,19918.1,4,0,0
9.331,3769.699999999997,4,0,0
7.933,28980.3,4,0,0
8.152999999999999,68553.9,3,3,4
8.228,29629.0,4,0,0
8.599,38885.8,4,0,0
8.898,32148.5,4,0,0
7.811,90395.5,3,3,4
9.42,41269.0,4,0,0
7.916,72754.2,3,3,4
7.725,34608.5,4,0,3
7.665,55339.4,0,1,3
6.752999999999999,69403.3,3,3,4
6.234,20261.2,2,4,2
6.119,48437.8,0,1,3
6.6370000000000005,18165.9,4,4,2
7.829,84674.2,3,3,4
7.0539999999999985,9537.400000000001,4,0,0
6.513,20705.4,2,4,2
7.3870000000000005,51955.5,0,1,3
5.084,17722.8,2,4,2
5.285,19280.2,2,4,2
7.607,41920.5,0,1,3
6.051,14795.8,2,4,2
3.374,20307.4,2,4,2
4.941,36258.1,1,2,1
5.785,41106.3,1,2,1
5.7,33046.1,1,2,1
4.155,54351.5,1,2,1
4.494,38817.4,1,2,1
7.853,27924.199999999997,4,0,0
7.952000000000001,38694.0,4,0,3
8.25,30500.199999999997,4,0,0
7.3610000000000015,56467.1,0,1,3
4.524,34198.5,2,2,2
8.141,32906.9,4,0,0
7.731,42633.8,0,1,3
4.198,53533.7,1,2,1
4.676,24972.2,2,4,2
8.875,48208.8,4,0,3
4.912,48412.5,1,2,1
6.9910000000000005,24972.7,4,1,3
6.9510000000000005,25029.4,4,1,3
4.675,33946.5,2,2,2
8.582,31084.5,4,0,0
4.398,59658.4,1,2,1
7.0920000000000005,30107.5,4,1,3
7.306,31292.9,4,1,3
4.546,21307.5,2,4,2
7.93,51410.9,0,1,3
4.8889999999999985,55257.5,1,2,1
4.19,37654.9,1,2,1
5.931,23577.6,2,4,2
5.524,30182.9,2,4,2
7.46,26529.5,4,0,0
4.524,27750.5,2,4,2
4.168,17240.4,2,4,2
2.186,10433.599999999999,2,4,2
4.987,5764.5,2,4,2
7.6389999999999985,50145.0,0,1,3
5.532,27212.5,2,4,2
7.198,96866.9,3,3,4
7.213999999999999,26149.2,4,0,3
8.517000000000001,44074.5,4,0,3
4.8469999999999995,32579.6,2,2,2
5.815,62527.7,1,3,1
4.587,49312.4,1,2,1
7.601,41108.5,0,1,3
4.44,33836.4,2,2,2
8.169,31572.1,4,0,0
4.232,50491.0,1,2,1
7.244,26607.6,4,0,3
4.013,22338.2,2,4,2
4.578,36347.2,1,2,1
8.023,38460.8,4,0,3
8.841000000000003,21228.0,4,0,0
8.644,15567.399999999998,4,0,0
7.286,70797.5,3,3,4
8.796,39597.7,4,0,0
8.628,15539.8,4,0,0
8.701,58323.4,0,3,3
8.679,20854.9,4,0,0
7.746,50426.2,0,1,3
