average_speed,distance,kmeans,minibatch,spectral
3.593,9769.900000000001,A,A,A
3.995,25897.5,A,A,A
5.047,35156.8,B,B,B
6.949,31772.5,D,D,D
6.932,42560.4,D,D,D
6.924,50258.3,D,D,D
5.237,39730.1,B,B,B
4.431,36683.4,B,B,B
3.976,31549.7,A,A,A
4.053,34048.3,A,B,A
4.003,32810.1,A,B,A
4.315,36654.1,B,B,B
3.827,30298.0,A,A,A
3.942,22003.8,A,A,A
7.97,82024.2,C,C,C
4.336,35554.8,B,B,B
4.632,29515.0,A,A,A
5.104,33873.9,B,B,B
3.936,57211.2,B,B,B
4.1930000000000005,31560.6,A,A,A
3.904,22415.2,A,A,A
4.989,68366.6,B,B,B
4.797,25802.4,A,A,A
4.272,25120.8,A,A,A
4.863,66741.8,B,B,B
4.881,20937.4,A,A,A
7.481,24925.2,E,E,E
7.029,41295.5,D,D,D
7.6389999999999985,53722.5,D,D,D
7.6,50344.7,D,D,D
4.569,29071.0,A,A,A
7.553,59779.3,D,C,D
5.052,22624.1,A,A,A
5.276,32531.7,A,B,A
8.092,52679.2,D,D,D
4.133,47767.9,B,B,B
7.542999999999998,42397.5,D,D,D
5.115,46188.9,B,B,B
4.727,23223.6,A,A,A
4.908,37105.2,B,B,B
3.826,24215.7,A,A,A
5.6129999999999995,28000.8,A,A,A
3.591,15884.8,A,A,A
3.824,48502.0,B,B,B
4.312,25216.6,A,A,A
6.416,89150.1,C,C,C
5.655,35260.2,B,B,B
4.004,23142.5,A,A,A
6.34,84018.7,C,C,C
4.471,24915.3,A,A,A
3.406,17512.4,A,A,A
8.097000000000001,55125.0,D,D,D
5.122999999999998,35591.2,B,B,B
6.417000000000002,76237.1,C,C,C
7.72,46707.8,D,D,D
6.987,73990.4,C,C,C
2.658,11912.100000000002,A,A,A
4.117,37506.1,B,B,B
2.8020000000000005,15610.599999999999,A,A,A
4.877,22250.4,A,A,A
6.1720000000000015,18541.3,A,A,A
5.045,32063.2,A,B,A
4.5939999999999985,9173.299999999996,A,A,A
5.598,24493.1,A,A,A
4.425,61909.3,B,B,B
7.846,54809.1,D,D,D
7.5070000000000014,63793.8,C,C,D
4.904,39837.2,B,B,B
3.725,22756.0,A,A,A
5.1770000000000005,36070.7,B,B,B
4.5710000000000015,23534.4,A,A,A
6.244,94353.3,C,C,C
4.977,34443.5,B,B,B
7.358,52070.8,D,D,D
4.3439999999999985,29256.299999999996,A,A,A
8.134,55732.2,D,C,D
7.7639999999999985,47917.2,D,D,D
7.662000000000001,59678.2,D,C,D
4.473,21945.3,A,A,A
4.414,68297.0,B,B,B
8.03,63217.100000000006,C,C,D
7.0539999999999985,59669.6,D,C,D
4.334,25417.1,A,A,A
4.671,51296.5,B,B,B
7.885,62045.7,C,C,D
4.285,25918.5,A,A,A
5.075,46012.8,B,B,B
6.972,47201.5,D,D,D
4.977,29011.5,A,A,A
7.966,76959.7,C,C,C
7.249,33997.5,E,D,D
4.48,30995.1,A,A,A
4.765,37852.2,B,B,B
5.471,33900.8,B,B,B
7.301,56550.5,D,D,D
7.824,46182.4,D,D,D
8.754,31531.0,E,E,E
8.682,26229.4,E,E,E
6.36,53156.4,D,D,D
7.622999999999998,79133.6,C,C,C
7.277,54569.3,D,D,D
4.553,24816.0,A,A,A
4.681,49817.4,B,B,B
8.041,59083.0,D,C,D
7.013,40015.1,D,D,D
7.977,57293.7,D,C,D
7.1370000000000005,26063.5,E,D,D
4.872,16140.0,A,A,A
8.076,39621.1,E,E,D
7.553,32446.9,E,E,D
6.803,34445.6,D,D,D
7.734,33070.6,E,E,D
6.933,25257.8,E,D,D
7.612999999999999,50221.3,D,D,D
9.499,23425.7,E,E,E
7.8,47640.4,D,D,D
4.6560000000000015,18943.3,A,A,A
7.192,28127.9,E,D,D
9.123,32860.0,E,E,E
