average_speed,distance,kmeans,minibatch,spectral
5.337999999999999,9251.599999999999,4,3,0
5.1720000000000015,8709.300000000003,4,3,0
4.973,9487.699999999997,4,3,0
5.3679999999999986,8588.199999999997,4,3,0
5.234,9117.699999999997,4,3,0
5.445,8450.099999999999,4,3,0
5.297999999999999,8937.0,4,3,0
5.1789999999999985,8866.0,4,3,0
5.432,8630.900000000001,4,3,0
5.457000000000002,8470.0,4,3,0
8.559,18676.7,0,1,2
9.729,17171.9,0,1,2
8.823,51853.1,0,1,1
6.457000000000002,33980.6,1,3,0
4.957,17670.2,4,0,0
5.854,18640.400000000005,1,3,0
6.27,11737.800000000003,1,3,0
8.687000000000001,78035.2,2,2,1
5.553,15226.7,4,3,0
5.7940000000000005,22266.2,1,3,0
6.2120000000000015,34820.0,3,4,4
9.037,31287.8,0,1,2
8.998,75411.5,2,2,1
9.277,31707.4,0,1,2
6.355,40845.3,3,4,4
8.529,77249.0,2,2,1
6.33,34512.8,1,4,4
8.279,64283.9,2,2,1
5.584,26160.0,4,3,0
7.41,78863.5,2,2,1
5.355,23762.1,4,3,0
7.897,80931.2,2,2,1
6.836,6295.800000000003,1,3,0
7.912000000000001,82096.5,2,2,1
5.49,20438.899999999998,4,3,0
6.937,59732.6,3,2,4
7.881,71146.9,2,2,1
6.4510000000000005,21564.2,1,3,0
8.282,67854.6,2,2,1
10.359000000000002,64641.6,0,1,1
8.777000000000001,55047.2,0,1,1
8.181000000000001,47655.0,0,1,1
6.9860000000000015,83430.8,2,2,1
7.662000000000001,1785.199999999997,1,3,0
8.731,23112.2,0,1,2
5.35,25718.7,4,3,0
2.4700000000000006,10001.5,4,0,3
6.398,20071.8,1,3,0
5.283,17173.7,4,3,0
7.8,67519.0,2,2,1
7.225,27339.5,1,3,0
8.642000000000001,35597.5,0,1,2
7.88,41307.1,0,1,4
7.559,43160.0,3,1,4
7.9620000000000015,70380.7,2,2,1
8.166,88254.1,2,2,1
10.282,92469.1,2,2,1
9.769,33108.4,0,1,2
6.244,45766.1,3,4,4
7.845,98108.4,2,2,1
9.019,66002.3,0,1,1
6.134,21523.5,1,3,0
11.478,38163.9,0,1,2
7.971999999999999,46027.9,0,1,4
7.026,5929.5999999999985,1,3,0
4.511,10505.699999999997,4,0,3
5.823,38196.1,3,4,4
7.3439999999999985,6955.199999999997,1,3,0
7.226,74844.5,2,2,1
6.553,21807.2,1,3,0
6.307,24206.1,1,3,0
8.217,91349.7,2,2,1
6.84,17436.299999999996,1,3,0
7.693,45325.3,3,1,4
8.056000000000001,39521.2,0,1,4
6.865,15885.7,1,3,0
8.562999999999999,20978.9,0,1,2
10.207,33662.9,0,1,2
7.039,12451.300000000003,1,3,0
8.878,6836.0,0,1,2
9.588,12417.099999999999,0,1,2
6.7170000000000005,39582.4,3,4,4
5.313,71624.6,3,4,4
5.9110000000000005,25015.7,1,3,0
5.956,26722.9,1,3,0
6.465,21386.3,1,3,0
5.732,62806.3,3,4,4
5.205,23467.1,4,3,0
5.529,38965.1,3,4,4
7.665,47009.2,3,1,4
10.145,66226.2,0,1,1
6.3870000000000005,11042.300000000003,1,3,0
5.367000000000001,7760.9000000000015,4,3,0
9.219,66950.0,0,1,1
7.643,53014.5,3,2,4
9.837,67898.4,0,1,1
6.068,15460.899999999998,1,3,0
5.4860000000000015,4004.5,4,3,0
7.263,57834.9,3,2,4
9.695,68128.4,0,1,1
4.767,24857.7,4,0,0
6.3660000000000005,16571.199999999997,1,3,0
8.107000000000001,73169.8,2,2,1
9.826,69191.6,0,1,1
9.133,21070.7,0,1,2
6.646,32505.4,1,3,0
4.622,5200.0,4,0,0
8.795,39918.7,0,1,2
5.952000000000001,32095.2,1,3,0
7.691,62466.9,2,2,1
6.581,47769.6,3,4,4
5.754,3199.300000000003,1,3,0
6.093,39023.2,3,4,4
6.809,98019.4,2,2,1
6.718,9049.400000000001,1,3,0
6.0939999999999985,55017.8,3,4,4
7.386,51765.4,3,4,4
7.5070000000000014,77569.8,2,2,1
6.4460000000000015,32617.4,1,3,0
6.779,33494.0,1,3,0
6.941,14417.399999999998,1,3,0
8.12,15461.0,1,1,0
4.819,34425.4,4,0,4
7.145,58493.7,3,2,4
8.898,69473.3,2,2,1
6.471,3196.9000000000015,1,3,0
6.49,14893.499999999996,1,3,0
6.101,47498.4,3,4,4
5.739,10083.300000000003,4,3,0
9.846,23994.9,0,1,2
7.566,22598.5,1,3,0
7.355,87078.1,2,2,1
8.309,3614.5,1,1,0
6.6370000000000005,27403.5,1,3,0
6.322,21198.900000000005,1,3,0
10.202,40287.7,0,1,2
2.069,4078.9000000000015,4,0,3
8.907,60824.1,0,1,1
6.8420000000000005,19984.6,1,3,0
11.674,29979.0,0,1,2
8.767000000000001,66411.7,2,2,1
9.482,56616.8,0,1,1
8.811,72832.9,2,2,1
6.6,16507.399999999998,1,3,0
8.576,86517.5,2,2,1
6.724,19675.0,1,3,0
11.306,59402.7,0,1,2
7.978,11257.400000000001,1,3,0
8.399000000000001,17294.2,0,1,0
8.179,91335.0,2,2,1
7.279,92113.7,2,2,1
8.845,64499.1,0,1,1
7.172999999999999,45261.0,3,4,4
5.9620000000000015,39643.7,3,4,4
8.698,73622.9,2,2,1
9.823,37012.4,0,1,2
3.2770000000000006,18780.900000000005,4,0,3
7.61,78896.8,2,2,1
7.0760000000000005,28415.3,1,3,0
10.201,33194.7,0,1,2
6.96,33394.3,1,3,0
9.394,28389.9,0,1,2
8.600999999999999,59980.8,0,1,1
6.1610000000000005,47386.6,3,4,4
9.044,27105.7,0,1,2
9.948,24840.0,0,1,2
8.871,63335.9,0,1,1
7.542000000000002,13092.400000000001,1,3,0
7.162000000000001,20268.2,1,3,0
8.123,68300.8,2,2,1
6.568,44918.0,3,4,4
9.467,91341.4,2,2,1
6.103,8787.900000000001,1,3,0
8.177999999999999,79023.6,2,2,1
5.18,56401.4,3,4,4
6.141,34314.9,3,4,4
8.927999999999997,94859.20000000001,2,2,1
8.407,7087.4000000000015,1,1,0
6.425,28663.4,1,3,0
7.476,19640.399999999998,1,3,0
6.483,27558.2,1,3,0
7.657999999999999,80314.7,2,2,1
7.044,31092.5,1,3,0
8.546,68416.5,2,2,1
9.633,39407.7,0,1,2
7.439,93001.7,2,2,1
6.791,30540.8,1,3,0
6.36,61631.3,3,4,4
8.397,49960.6,0,1,1
6.325,22777.0,1,3,0
8.652000000000001,81343.0,2,2,1
5.687,26397.1,4,3,0
8.337,30581.9,0,1,2
7.338999999999999,54977.7,3,2,4
6.867000000000001,39034.2,3,4,4
8.075,38782.9,0,1,0
6.721,52486.5,3,4,4
7.082000000000002,17266.699999999997,1,3,0
5.584,32867.2,4,3,0
6.09,22928.6,1,3,0
7.57,22862.3,1,3,0
5.586,47159.4,3,4,4
5.316,30624.9,4,0,0
8.318999999999999,27161.7,0,1,0
7.154,11647.300000000003,1,3,0
7.081,6663.5999999999985,1,3,0
6.085,69164.6,3,2,4
3.7490000000000006,4892.300000000003,4,0,3
5.122999999999998,2249.199999999997,4,3,0
4.452,2252.800000000003,4,0,3
8.469,8410.0,1,1,0
8.728,10107.0,0,1,2
7.629,9635.800000000003,1,3,0
7.416,36671.9,1,4,0
7.8870000000000005,92725.7,2,2,1
7.49,38917.4,1,1,4
5.465,1907.4000000000015,4,3,0
5.53,8472.599999999999,4,3,0
5.973,23265.6,1,3,0
5.362,8948.699999999997,4,3,0
5.142,12968.3,4,3,0
6.4929999999999986,44878.6,3,4,4
6.7029999999999985,6106.800000000003,1,3,0
7.911,8630.699999999997,1,3,0
4.923,20759.600000000002,4,0,0
8.808,34528.9,0,1,2
8.083,39857.5,0,1,4
6.081,17907.6,1,3,0
7.795,81436.9,2,2,1
6.3039999999999985,17129.000000000004,1,3,0
7.3610000000000015,14854.3,1,3,0
5.501,26728.8,4,3,0
5.877000000000002,19301.7,1,3,0
7.309,19558.2,1,3,0
7.529,21163.6,1,3,0
5.976,17019.0,1,3,0
9.192,93384.0,2,2,1
8.208,7354.699999999997,1,1,0
5.396,3053.9000000000015,4,3,0
8.394,13900.0,1,1,0
5.006,28924.3,4,0,0
6.42,17608.7,1,3,0
10.17,36612.0,0,1,2
9.215,33027.8,0,1,2
7.95,29327.6,1,1,0
7.817,59343.3,2,2,1
