average_speed,distance,kmeans,minibatch,spectral
6.422999999999999,10964.4,E,E,E
5.691,25030.4,B,B,E
5.966,24921.6,B,B,E
5.567,25252.2,B,B,E
5.974,25006.8,B,B,E
6.4129999999999985,10869.9,E,E,E
6.42,10926.3,E,E,E
5.678,11020.8,D,D,E
6.478,10921.3,E,E,E
5.858,10883.8,D,E,E
6.57,10964.8,E,E,E
5.916,10868.3,E,E,E
6.8679999999999986,10900.0,E,E,E
6.314,10865.8,E,E,E
6.676,10961.8,E,E,E
5.568,12879.7,D,D,E
6.584,10968.3,E,E,E
5.992000000000001,24885.9,B,B,E
6.443,25019.7,E,E,E
6.207000000000002,28389.6,B,B,E
6.384,25012.7,E,E,E
6.13,10875.5,E,E,E
6.391,10915.2,E,E,E
5.614,25453.3,B,B,E
6.176,24968.4,B,E,E
4.985,24514.9,B,B,D
6.539,25011.2,E,E,E
5.9,24521.9,B,B,E
6.6690000000000005,23861.3,E,E,E
6.184,24515.0,B,E,E
6.255,23813.9,B,E,E
5.172999999999999,18657.6,D,D,D
6.934,23852.2,E,E,E
5.301,27724.1,B,B,E
6.765,23807.6,E,E,E
5.381,24531.2,B,B,E
6.606,23788.7,E,E,E
5.662000000000001,24526.0,B,B,E
6.535,23805.9,E,E,E
5.4030000000000005,18721.7,D,D,E
6.651,23803.8,E,E,E
5.939,24583.0,B,B,E
6.202000000000001,23835.4,B,E,E
5.553,6264.1,D,D,E
4.9289999999999985,72991.8,C,C,C
5.871,87752.8,C,C,C
5.444,68823.9,C,C,C
4.549,26427.4,B,B,D
5.301,58289.0,C,C,B
5.9060000000000015,10867.5,E,E,E
6.905,10965.9,E,E,E
5.7189999999999985,10431.5,D,D,E
7.098,10966.0,E,E,E
5.874,10895.9,E,E,E
6.776,10962.8,E,E,E
5.739,25213.3,B,B,E
6.511,23851.0,E,E,E
5.976,24658.4,B,B,E
7.44,23928.4,E,E,E
5.608,25223.5,B,B,E
6.59,23948.1,E,E,E
5.346,25216.5,B,B,E
6.207999999999998,23948.7,B,E,E
5.667000000000002,25241.2,B,B,E
5.7639999999999985,23793.8,B,B,E
5.607,25642.9,B,B,E
6.149,23857.7,B,E,E
6.152,19379.0,E,E,E
6.434,23870.2,E,E,E
6.028,12358.2,E,E,E
6.853,12205.5,E,E,E
5.658,12188.0,D,D,E
6.57,12206.2,E,E,E
5.714,12142.1,D,D,E
6.6129999999999995,12207.5,E,E,E
4.938,16203.1,D,D,D
6.454,12243.5,E,E,E
5.5939999999999985,15237.6,D,D,E
6.422999999999999,12197.6,E,E,E
4.931,40022.3,B,B,B
6.5870000000000015,12205.3,E,E,E
5.442,15254.3,D,D,E
7.109,12114.4,E,E,E
5.3629999999999995,15246.7,D,D,D
6.565,12191.3,E,E,E
5.655,15279.2,D,D,E
7.033,12187.7,E,E,E
5.315,15435.6,D,D,D
6.879,12210.4,E,E,E
5.5470000000000015,15366.1,D,D,E
6.642,12195.3,E,E,E
5.358,14439.4,D,D,D
6.54,12053.2,E,E,E
5.694,14229.2,D,D,E
6.742000000000001,12189.1,E,E,E
5.101,14608.5,D,D,D
6.665,12203.1,E,E,E
5.809,14440.7,D,E,E
6.322,12201.5,E,E,E
6.539,8743.2,E,E,E
4.046,15349.8,A,A,D
4.884,8810.9,D,D,D
4.82,79611.6,C,C,C
5.4860000000000015,19682.0,D,D,E
6.754,12258.4,E,E,E
5.067,15539.8,D,D,D
6.761,12244.6,E,E,E
5.083,15369.5,D,D,D
6.66,12273.8,E,E,E
5.09,16034.5,D,D,D
6.649,12255.0,E,E,E
5.444,15478.4,D,D,E
6.6160000000000005,12271.9,E,E,E
4.392,24104.2,A,B,D
4.452,33617.3,B,B,D
5.2120000000000015,15568.4,D,D,D
6.87,12262.6,E,E,E
4.989,15679.0,D,D,D
6.8610000000000015,12335.4,E,E,E
3.839,32040.4,A,A,D
5.132999999999999,17458.8,D,D,D
6.674,12267.6,E,E,E
5.004,15438.3,D,D,D
6.073,12284.7,E,E,E
4.145,20287.1,A,A,D
5.9620000000000015,12246.7,E,E,E
6.724,12264.7,E,E,E
5.009,15409.2,D,D,D
6.525,12285.8,E,E,E
5.27,15415.9,D,D,D
4.181,37362.1,B,B,D
3.434,77144.0,C,C,C
5.3889999999999985,15386.4,D,D,D
6.938,12245.9,E,E,E
5.959,12264.0,E,E,E
6.759,12241.0,E,E,E
5.481,15438.7,D,D,E
6.711,12253.9,E,E,E
6.908,12282.4,E,E,E
6.07,65585.1,C,C,B
6.7410000000000005,12235.5,E,E,E
7.154,12268.9,E,E,E
6.428,12246.0,E,E,E
7.9289999999999985,12242.2,E,E,E
6.586,12250.1,E,E,E
7.751,12261.3,E,E,E
7.846999999999999,12257.0,E,E,E
6.667000000000002,12247.6,E,E,E
7.467,12268.9,E,E,E
5.069,11394.4,D,D,D
6.452000000000001,12259.2,E,E,E
7.774,12251.7,E,E,E
6.277,12259.8,E,E,E
6.89,12292.0,E,E,E
7.755,12291.0,E,E,E
7.13,12256.9,E,E,E
7.176,12292.1,E,E,E
6.704,12247.6,E,E,E
6.626,15446.1,E,E,E
6.771,12268.3,E,E,E
8.003,12293.0,E,E,E
6.675,15286.2,E,E,E
7.76,12292.1,E,E,E
5.765,15282.4,D,E,E
7.635,12338.5,E,E,E
6.093,12271.6,E,E,E
7.635,12315.3,E,E,E
6.6129999999999995,12287.0,E,E,E
8.611,12262.1,E,E,E
6.6129999999999995,12280.6,E,E,E
7.895,12252.9,E,E,E
6.721,66389.3,C,C,A
7.002000000000002,12266.9,E,E,E
7.631,12262.5,E,E,E
6.667000000000002,12360.4,E,E,E
8.631,12247.0,E,E,E
5.994,14103.6,E,E,E
7.499,12342.9,E,E,E
6.744,12254.3,E,E,E
7.545,12260.9,E,E,E
6.934,12272.5,E,E,E
6.92,12282.3,E,E,E
7.079,12254.5,E,E,E
7.049,12257.5,E,E,E
6.756,48786.9,B,B,B
7.331,31580.1,E,E,E
6.733,14214.2,E,E,E
6.3679999999999986,12265.2,E,E,E
6.822,12266.4,E,E,E
5.051,15395.6,D,D,D
7.103,12273.4,E,E,E
6.183,12291.6,E,E,E
6.96,12506.8,E,E,E
6.472,12277.7,E,E,E
7.1179999999999986,12392.6,E,E,E
5.353,36228.4,B,B,E
5.49,36291.4,B,B,E
5.5920000000000005,51920.2,C,C,B
6.2429999999999986,14133.6,E,E,E
